Name,Age,Gender,Email,Join_Date,Salary,Department
Jack,,,user89@example.com,2021-05-21,50000,Sales
Alice,30,F,,,80000,Engineering
Bob,30,Female,,,,Admin
Charlie,40,M,,2021-05-21,unknown,Admin
David,30,Male,,22-06-2022,unknown,Sales
Eva,30,,,2021-05-21,,
Frank,,Male,,,50000,
Grace,40,Male,,,70000,Sales
Hannah,,Male,,2020/01/01,60000,
Ivy,,F,,2020/01/01,50000,
Jack,,,,"July 4, 2020",60000,Admin
Alice,,,user0@example.com,2021-05-21,,Admin
Bob,40,M,user1@example.com,,50000,Engineering
Charlie,unknown,Male,user2@example.com,2020/01/01,50000,HR
David,,,user3@example.com,2021-05-21,70000,Admin
Eva,35,Other,user4@example.com,"July 4, 2020",70000,Engineering
